node_id,label,dominant_domain,color,structural_importance,Z_Math_Logic,Z_MMLU,Z_TruthfulQA,Z_RedTeaming
132,gag + addle,TruthfulQA,#2ecc71,2.1875317096710205,-0.3267459480503358,-0.5504782510882128,-0.3227359912366146,-0.4046767708728078
133,ertz + Marble,Math_Logic,#e74c3c,2.1870293617248535,3.5112839762156267,-0.2162447533804378,-0.37652703591413667,1.6196643065421141
134,StackNavigator + ングル,MMLU,#3498db,2.185363531112671,-0.58478674930547,0.20961193232006758,-0.2677923422425747,-0.1562264359567887
135,Helm + anie,RedTeaming,#34495e,2.1832799911499023,-0.538474632378513,-0.12784917576429583,-0.10959130847275549,-0.07137524441117223
136,ensch + ney,TruthfulQA,#2ecc71,2.18282413482666,-0.8763195911810333,-0.1813034826378419,-0.13832566449000083,-0.6151589360674026
137,øre + obel,RedTeaming,#34495e,2.1817104816436768,0.0961877443732092,-0.37921631614646895,-0.6647089652771695,0.302078110329236
138,alu + ahu,TruthfulQA,#2ecc71,2.1808393001556396,-0.34019036706859285,0.6188554820792775,2.6634942030717546,1.6497047810371641
139,kli + iated,Math_Logic,#e74c3c,2.1796422004699707,0.07637553506711359,-0.8487985331216634,-0.3776452142764136,-0.6094402256241926
140,ταν + Lantern,RedTeaming,#34495e,2.178718328475952,-0.0027101305036344053,-0.9013572103168817,-0.5629562491675639,0.45769487992156865
141,clid + orden,MMLU,#3498db,2.178351640701294,-0.5755116957571459,0.3311577482374284,0.10756177811940733,0.03721333830671978
142,akens + erre,MMLU,#3498db,2.1769020557403564,-0.1853888126247827,-0.1568294188680658,-0.23185387551874012,-0.3424832538902336
143,fac + hausen,Math_Logic,#e74c3c,2.1755259037017822,0.3618719862356951,-0.47983918346908905,-0.31153998582871983,-0.5707630750133506
144,arrison + pte,TruthfulQA,#2ecc71,2.174548864364624,-0.4267019209971706,-0.5166954778879908,-0.411767368160732,-0.6897713142626867
145,ogi + Clamp,RedTeaming,#34495e,2.174079418182373,-0.1714281027139563,0.13036114957351863,-0.26288202329311894,0.4999284958377076
146,elon + inding,RedTeaming,#34495e,2.172943115234375,-0.8342740319194905,0.5693615772750658,0.1100528392708265,0.6944553179632379
147,pul + alink,RedTeaming,#34495e,2.171250343322754,-0.5896917890641356,-0.3091372158184122,-0.4614364682464706,-0.2769619931639616
148,omes + ught,TruthfulQA,#2ecc71,2.1703996658325195,-0.7862988664996299,-0.480693744331918,-0.17588153966230627,-0.554150492806754
149,AKER + tright,TruthfulQA,#2ecc71,2.1694321632385254,-0.5814945518434511,-0.681750740034303,-0.4662954415657349,-0.6395307145573752
150,iggins + Lah,RedTeaming,#34495e,2.168102502822876,-0.7108849047765189,-0.7614703902384561,-0.48882698485878345,0.3001582349899974
151,сви + ammer,RedTeaming,#34495e,2.1678237915039062,0.17149681457872115,-0.40161618577652647,-0.2751940886398886,0.22389652943766236
152,ullan + olk,MMLU,#3498db,2.1660501956939697,-0.6670573070695032,0.04193147080548128,-0.027111929681164455,-0.36458867435793657
153,icense + ument,Math_Logic,#e74c3c,2.16546368598938,-0.45976637810811455,-0.823200179100124,-0.5745153468011144,-0.6087117991022029
154,els + Método,Math_Logic,#e74c3c,2.165161609649658,0.8597749474636601,0.2084204537042971,-0.3600462607210377,-0.5963100682895704
155,mad + strand,TruthfulQA,#2ecc71,2.1637566089630127,4.14004950330781,3.6492795212060503,6.208290251800459,4.958960840768124
156,IntArray + hexadecimal,MMLU,#3498db,2.162606716156006,-0.6314906806082685,0.5494909196429146,-0.20053503970684855,0.31509222521311386
157,ego + inel,Math_Logic,#e74c3c,2.1613645553588867,-0.6066758228888486,-0.6796991823317325,-0.6442156522907119,-0.697974735923308
158,opp + Animalia,Math_Logic,#e74c3c,2.1605288982391357,0.3653672495816832,-0.5096977061321217,0.11922672694209395,-0.10925612903192485
159,akan + Bye,TruthfulQA,#2ecc71,2.159346103668213,-0.8059042682199752,-0.8992746050314867,0.023064987087075245,-0.2716611975549698
160,Fancy + log,MMLU,#3498db,2.158494234085083,-0.6007889715961864,-0.2851480897455227,-0.3373475367445864,-0.46550304669318526
161,adele + Slee,RedTeaming,#34495e,2.157069206237793,-0.374672472892313,-0.16585940635313848,0.29330933120313396,0.37134014626616096
162,cel + ual,TruthfulQA,#2ecc71,2.156696081161499,-0.5598747339963064,-0.5132414159521623,-0.47990683386321914,-0.7240726413562502
163,ampo + ghi,MMLU,#3498db,2.1548781394958496,0.5542108640656452,1.1976731652813204,0.040768135691960264,-0.06241167667984209
164,vey + WEEN,MMLU,#3498db,2.154039144515991,-0.006096566628189016,0.4942624197827145,0.12651555492767141,-0.533264130739819
165,zew + ktop,RedTeaming,#34495e,2.152251720428467,-0.39753898992365055,-0.6718590320195194,-0.34357685682588984,0.025309677674303005
166,stadt + olin,RedTeaming,#34495e,2.15120267868042,-0.6441422309490042,-0.40658460684555275,-0.4056193376378231,0.21405450429149525
167,rates + agos,MMLU,#3498db,2.150329113006592,-0.45951628745493434,-0.3506572248101915,-0.7154750429018163,-0.5091744188899564
168,cete + edBy,RedTeaming,#34495e,2.150160074234009,-0.7907145695031855,-0.6330846415505994,-0.35476101716671415,0.5236337994534617
169,Vick + awn,RedTeaming,#34495e,2.1497552394866943,-0.7797855322002913,-0.053484498651400716,-0.6360182917283229,0.5532913667199278
170,řich + ogo,Math_Logic,#e74c3c,2.1491940021514893,0.08129080001685457,-0.7406350865950457,-0.3597300348412675,0.003226748689796682
171,asca + rem,Math_Logic,#e74c3c,2.148144006729126,0.6774042943311419,-0.07971890704891016,-0.6350944583907006,-0.5494379229836637
172,igon + oje,RedTeaming,#34495e,2.145951271057129,-0.12455354861833795,0.05092047942053095,0.2506381945791679,0.7892806548865955
173,oids + OfSize,MMLU,#3498db,2.1448121070861816,-0.6585713996004932,-0.4246419822775725,-0.6028680114643891,-0.5065533974804741
174,erville + endet,TruthfulQA,#2ecc71,2.144068956375122,1.4766314785843422,2.4524442156510333,3.1204745605302993,3.0986234859682713
175,ritel + andan,RedTeaming,#34495e,2.142488479614258,-0.24888262042385018,1.1608234342962056,0.41810650647655456,2.5493811846134213
176,compartment + mal,RedTeaming,#34495e,2.1418228149414062,0.85228856362455,-0.34729841411553536,0.027472277235483206,1.53440994116597
