concept_id,magnitude
153,482.27415772201493
154,351.78626563143916
155,389.00242524943314
156,363.7236294155009
157,401.47628058539703
158,567.9460448154714
159,437.96122361021116
160,477.3456090898253
161,746.430713603273
162,740.4831640720367
163,506.899345245678
164,518.0067253431771
165,1218.1102854455821
166,483.1846872352762
167,472.1217334140092
168,745.0547556062229
169,423.46934238262475
170,436.5117839947343
171,422.5934314574115
172,628.891902328236
173,355.0378807161469
174,328.8541001302656
175,651.6139099916909
176,398.9801842798479
177,448.09253308805637
178,380.6215707990341
179,729.1297472701408
180,936.9197107159998
181,544.4825328924926
182,623.7944887061603
183,462.9817038497422
184,499.7711504830513
185,371.8402107945876
186,594.9341597419698
187,734.7922665853985
188,341.1566250282922
189,321.41832839348353
190,500.91380422282964
191,383.41859290213324
192,397.15766862616874
193,352.3144430263201
194,354.7408476397395
195,385.5733642785344
196,430.8371061531361
197,419.1113285133615
198,383.23128949361853
199,985.3566606646637
200,446.7712447998347
201,406.9724685184192
202,647.2108922759071
203,482.3067419491708
204,391.2541083606193
205,465.2019026889466
206,351.73665762739256
207,397.60781411873177
208,737.5360562272836
209,427.81959352153353
210,758.5913456669077
211,378.5950619080104
212,468.49255720246583
213,373.174897664343
214,410.2071942964103
215,352.3392046650406
216,443.678423544683
217,369.6830988258589
218,438.7474220068543
219,360.08770708646625
220,359.2688179386314
221,370.99896616954356
222,708.43536768388
223,384.76647777785547
224,376.13756254152395
225,996.0963305002078
226,364.4494412592612
227,386.3875361121027
228,437.4831639698241
229,514.0916300741956
230,573.5505879917182
231,405.9684300284134
232,496.29190519894473
233,412.71235836902633
234,919.8666085223667
235,522.2315946316812
236,684.8621490551159
237,450.74268827261403
238,376.9976353493985
239,371.6195238970686
240,363.2165779984207
241,393.1463675950654
242,490.35421449760906
243,359.76323175034486
244,617.9516427277122
245,442.96416752180085
246,354.2155564816203
247,349.8379252575105
248,439.68698894395493
249,527.0415922233369
250,368.41013991832733
251,460.6452484126203
252,315.62974245660007
253,461.9512633807026
254,538.5924451914616
255,491.1596121888142
256,390.51325234095566
257,518.3608869118616
258,480.8326386027038
259,355.23748771997634
260,529.3625679109246
261,1164.947544278577
262,632.8949782843702
263,600.5501596247777
264,370.36174497788306
265,347.9936092989519
266,422.4633864737116
267,322.03676614467986
268,338.28619535733014
269,382.5153253029566
270,609.4761648911517
271,434.03473732061684
272,340.5892807675991
273,892.0268036401831
274,511.68223068106454
275,440.3900010494981
276,700.2696004491299
277,585.5125860348344
278,355.2251023146091
279,360.76324804406613
280,399.01652305270545
281,364.95168876391836
282,398.0424484045943
283,398.8551069966052
284,331.6508697955869
285,683.8085714867339
286,610.9387656806502
287,343.83776829764247
288,414.14830272179097
289,325.7850337420241
290,333.28972966829315
291,327.2906884551048
292,428.78785546543077
293,477.0720388251357
294,695.5702177300118
295,366.89475653879344
296,375.62884889228735
297,402.2668056485709
298,332.74680592725053
299,329.52955116773956
300,375.0398271837039
301,391.07988403725903
302,356.2990972364787
303,445.42081659595715
304,494.78328439290635
305,345.0302876039641
306,348.6141585498117
307,345.8654483468272
308,389.9398639155552
309,525.3906005648896
310,362.44480958161876
311,338.78467415319756
312,373.9367222767323
313,716.2820642059669
314,349.2520205080509
315,291.7157469470985
316,593.2888722284697
317,764.2465486922301
318,534.0411820912268
319,315.79482856800314
320,400.8624645350501
321,325.32541959779337
322,373.00113119895104
323,327.06544040702283
324,342.7785000319127
325,654.2027571201324
326,348.1235345841851
327,324.3841350800358
328,318.4091308717616
329,1169.3489568419755
330,346.84447137778625
331,391.38238799758255
332,609.3257414908148
333,392.82221583405044
334,560.1562259346247
335,325.1599079781445
336,458.195405832259
337,335.498825275572
338,392.14898368832655
339,369.76794558251277
340,511.9857521895319
341,365.4254849576391
342,614.3976914384402
343,318.89761410374194
344,527.7493407939328
345,351.5255266011227
346,355.17283966508694
347,637.7207126519643
348,523.8650995977223
349,342.6086336822482
350,329.77883476531133
351,404.0873312649783
352,402.74087813077495
353,357.46692243916914
354,448.79841143870726
355,300.76490298239514
356,416.2942478361074
357,345.9418588783592
358,343.9248848792631
359,316.3922291416675
360,546.2518053990789
361,485.38374690688215
362,344.70168940955773
363,365.9235344370827
364,322.0356738453265
365,405.4697400428122
