node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
124,culate + rvine,RedTeaming,#34495e,5.810235977172852,0.0,2.616022725383355,0.0,3.988989948697264
125,Fon + евых,MMLU,#3498db,5.80803918838501,0.0,3.353093492476937,0.0,1.064967881695517
126,angen + Pri,MMLU,#3498db,5.801506996154785,0.0,0.4997494683233989,0.0,0.4524384077728228
127,arks + Chambers,MMLU,#3498db,5.7945685386657715,0.0,0.17496497253212107,0.0,0.03141020576301178
128,mot + mam,MMLU,#3498db,5.788383483886719,0.0,5.572253785222889,0.0,3.5165421677239386
129,ProcessEvent + overn,RedTeaming,#34495e,5.786186695098877,0.0,0.6062734582530289,0.0,0.688320199711107
130,enheim + hem,MMLU,#3498db,5.7797722816467285,0.0,1.6159592071568774,0.0,-0.12185243692072664
131,Luxembourg + otype,RedTeaming,#34495e,5.775704860687256,0.0,0.29562331048768176,0.0,0.508356285946382
132,Belg + Waterloo,MMLU,#3498db,5.773579120635986,0.0,1.8290707873889631,0.0,0.9661252641084068
133,osit + umper,MMLU,#3498db,5.769800662994385,0.0,1.0089932767422551,0.0,0.31435915120515384
134,ivic + ActionCode,MMLU,#3498db,5.762719631195068,0.0,0.26848725537432383,0.0,-0.0709027565877627
135,ede + subsection,MMLU,#3498db,5.7590813636779785,0.0,3.1983169642270806,0.0,2.9339804199001294
136,kinson + treeview,RedTeaming,#34495e,5.753317356109619,0.0,2.2392485085117624,0.0,3.0231810252897224
137,Riley + ulent,RedTeaming,#34495e,5.748942852020264,0.0,0.13330936109994504,0.0,0.703245332894929
138,indle + stead,MMLU,#3498db,5.746217250823975,0.0,1.2732480085866984,0.0,-0.0911324552512162
139,教育培训 + ctions,MMLU,#3498db,5.740447521209717,0.0,1.031379287510499,0.0,0.24763780929333848
140,ios + ede,MMLU,#3498db,5.738027095794678,0.0,1.6083733701499174,0.0,-0.10722214382858071
141,Dip + aru,MMLU,#3498db,5.733480453491211,0.0,0.6971190147346765,0.0,-0.1947799864675723
142,PURE + 普通人,MMLU,#3498db,5.72871208190918,0.0,1.9097430315201012,0.0,1.3068066661125792
143,Spell + thr,MMLU,#3498db,5.725967884063721,0.0,1.866459397092397,0.0,-0.25255962078238625
144,Meadow + Retro,MMLU,#3498db,5.720038890838623,0.0,0.6620127606827562,0.0,-0.09702974657850363
145,的认知 + foil,MMLU,#3498db,5.714806079864502,0.0,1.62873929178251,0.0,1.0981174237640163
146,arest + iner,RedTeaming,#34495e,5.713081359863281,0.0,0.8517986892208026,0.0,0.9125868050886218
147,全球经济 + orp,RedTeaming,#34495e,5.7115397453308105,0.0,0.24168229956577814,0.0,0.44582485615287354
148,Latter + FullScreen,MMLU,#3498db,5.7069478034973145,0.0,0.27473635868215324,0.0,-0.05356630907448353
149,aud + Mang,RedTeaming,#34495e,5.701821327209473,0.0,3.1312050403551814,0.0,3.147361467242755
150,nors + Jays,MMLU,#3498db,5.699856281280518,0.0,2.136773786227454,0.0,0.705622259124817
151,积极配合 + buzz,MMLU,#3498db,5.696065425872803,0.0,4.0077155821460915,0.0,0.22563192517724062
152,Hoe + somew,RedTeaming,#34495e,5.6891188621521,0.0,0.005803367186014785,0.0,1.3954968505636085
153,ADS + LEC,RedTeaming,#34495e,5.687524795532227,0.0,0.3636505377336859,0.0,1.4608190178693252
154,mits + iere,MMLU,#3498db,5.681402206420898,0.0,0.3891893705174939,0.0,0.3369969047912645
155,QUIT + 全方位,RedTeaming,#34495e,5.676507949829102,0.0,0.22315349819019026,0.0,1.862219943856029
156,plum + ignet,MMLU,#3498db,5.674526214599609,0.0,0.9196046348300405,0.0,0.7857205504914945
157,onth + hill,RedTeaming,#34495e,5.6705193519592285,0.0,0.28126165157974903,0.0,0.43706369165743475
158,utton + mue,MMLU,#3498db,5.667747497558594,0.0,0.9397634002707216,0.0,0.26516999243079437
159,اما + 组织实施,RedTeaming,#34495e,5.663482189178467,0.0,0.10029859644807529,0.0,1.9296638195735942
160,ccion + dispatch,RedTeaming,#34495e,5.6601996421813965,0.0,1.1897096614676839,0.0,2.05402259636276
161,alysis + conditioned,RedTeaming,#34495e,5.659328460693359,0.0,3.3365954745676936,0.0,5.151363971042262
162,ARP + dataProvider,RedTeaming,#34495e,5.655030250549316,0.0,0.42709000332606806,0.0,1.8635525134856468
163,Incoming + McD,MMLU,#3498db,5.650236129760742,0.0,2.3114832525983924,0.0,2.0079647061269217
164,NEY + bell,RedTeaming,#34495e,5.646474838256836,0.0,0.5691363472200804,0.0,2.4373182995495215
165,andest + отз,RedTeaming,#34495e,5.643191337585449,0.0,4.583922730238522,0.0,5.8335097147264445
166,flix + linkplain,RedTeaming,#34495e,5.6399102210998535,0.0,0.38890841803271353,0.0,2.3951403946541907
167,ost + grav,MMLU,#3498db,5.636838436126709,0.0,0.2697743403196731,0.0,-0.0938756711966316
168,Volk + stad,MMLU,#3498db,5.632493019104004,0.0,0.3884442312678246,0.0,0.3521494968361859
169,setattr + sez,RedTeaming,#34495e,5.625851631164551,0.0,0.3316797800624149,0.0,0.7019117391271044
170,icated + Muj,MMLU,#3498db,5.623874187469482,0.0,0.8656430049350177,0.0,-0.11171268403514042
171,ium + autob,MMLU,#3498db,5.620765686035156,0.0,1.8635428780786096,0.0,0.8000751840897967
172,uil + 又一次,MMLU,#3498db,5.617922306060791,0.0,2.534101913200654,0.0,2.2809801644500634
173,Singer + Engines,MMLU,#3498db,5.617116928100586,0.0,0.4493395850987408,0.0,0.019424171310874743
