node_id,label,domain,color,weight_importance,Z_Math_Logic,Z_MMLU,Z_TruthfulQA,Z_RedTeaming
1646,rror + conspic,MMLU,#3498db,3.9037065505981445,-0.8318205720194777,-0.43955320012889604,-0.4806673264664809,-0.7416803911189167
1647,MLS + utdown,TruthfulQA,#2ecc71,3.9030001163482666,-0.4324881707871169,-0.39347627481821706,0.5351988785731268,-0.6519667360709395
1648,Barn + Intel,RedTeaming,#34495e,3.9025120735168457,-0.8072129696938991,-0.7254194256992128,-0.6418241605734067,0.5747263556192547
1649,prise + سكر,RedTeaming,#34495e,3.901780366897583,-0.7104928898714932,-0.7955929232027448,-0.8076289263425185,-0.6678542902867707
1650,adic + MST,TruthfulQA,#2ecc71,3.9005110263824463,-0.6554831372404057,0.012992862507646514,0.2138032633652621,-0.3523579727222682
1651,lass + jud,RedTeaming,#34495e,3.8996617794036865,-0.7362393193302555,-0.9103793851521673,-0.8358268065193293,-0.5041579900000916
1652,iros + nde,TruthfulQA,#2ecc71,3.8985867500305176,-0.8051175794697889,-0.7990152963996063,-0.6380122172273781,-0.8406757279095612
1653,jsonString + 什么意思,MMLU,#3498db,3.8977432250976562,-0.8068816966968565,-0.6286400881294864,-0.7612449765785431,-0.7288181759848398
1654,illes + Ner,MMLU,#3498db,3.897702693939209,-0.8302731665698904,-0.5694609137336418,-0.7626416444863012,-0.8342272131110602
1655,Россий + Cli,RedTeaming,#34495e,3.8969388008117676,-0.8539545890647755,-0.6440681372594036,-0.6824142334004804,-0.5444758475581217
1656,只要你 + ern,TruthfulQA,#2ecc71,3.8963510990142822,-0.7023074417043349,-0.6894521174400092,0.1177852460329318,-0.37169709688836916
1657,orners + uler,RedTeaming,#34495e,3.896263360977173,-0.7497066041909883,-0.7161087947357951,-0.5504057946868577,-0.4647217567721142
1658,Nelson + pir,Math_Logic,#e74c3c,3.895749568939209,-0.5292203686904682,-0.5805035707993105,-1.0126675850775404,-0.7849801041895471
1659,stad + sis,Math_Logic,#e74c3c,3.894763231277466,-0.33743292891368576,-0.6111892606190609,-0.6365375707841661,-0.568128266007376
1660,BET + itra,Math_Logic,#e74c3c,3.8941240310668945,1.4153359365014855,-0.025430548917124634,0.0882992049770811,-0.3631598406087435
1661,新一轮 + мер,RedTeaming,#34495e,3.8932554721832275,-0.838108318390642,-0.913247443500868,-0.9436751863779255,0.22683108756566694
1662,gradable + conditioned,MMLU,#3498db,3.893038749694824,-0.8750577597845005,-0.6782059494572288,-0.8760970456034658,-0.7734082092973928
1663,Aqua + ude,MMLU,#3498db,3.8923146724700928,-0.7715921224503739,-0.5080320195068606,-0.8674186237305959,-0.6993566415902157
1664,Dixon + Dom,RedTeaming,#34495e,3.89109206199646,-0.6735984244175066,-0.577964953961404,-0.5186837671202701,0.1188592420668869
1665,eder + riott,TruthfulQA,#2ecc71,3.8899354934692383,-0.92841050539205,-0.7641555285907861,-0.5723522702098084,-0.8765238626324099
1666,elin + osit,RedTeaming,#34495e,3.8897950649261475,-0.740753488136469,-0.49827312619733555,-0.604416510907057,-0.44416581539680217
1667,gran + Phoenix,RedTeaming,#34495e,3.8889260292053223,-0.8575945685440399,-0.7379206740890122,-0.406355639205217,0.5212562790753599
1668,itage + ully,RedTeaming,#34495e,3.8878872394561768,-0.6049625951890653,0.22971709377020816,0.6097735052402767,0.866271915075151
1669,unt + ssh,Math_Logic,#e74c3c,3.887795925140381,1.2153819913116075,0.5005140050240106,0.1677154754525587,-0.551527370913148
1670,pret + bug,TruthfulQA,#2ecc71,3.8868865966796875,-0.7738793705067173,-0.08079241708488151,0.043351300055675814,-0.8218712138839118
1671,azo + ñas,TruthfulQA,#2ecc71,3.886094570159912,-0.5923147421118212,-0.7537795821918685,-0.4847764781114247,-0.6252318629647922
1672,tsx + Execution,Math_Logic,#e74c3c,3.885707378387451,-0.368905855984759,-0.7238873290733848,-0.49682547493009804,-0.7538715191337989
1673,нет + strand,Math_Logic,#e74c3c,3.8851687908172607,-0.7308449745190797,-0.7843939566684449,-0.8472963153692633,-0.9299339056872099
1674,pard + instant,Math_Logic,#e74c3c,3.8837413787841797,-0.7179155592757427,-0.7951811880136896,-0.8054716163796652,-0.7742020684134561
1675,SBATCH + ampton,TruthfulQA,#2ecc71,3.8835642337799072,-0.9463813480338088,-0.5275825060208776,0.5836596035790601,-0.03585998117257948
1676,dac + Vict,TruthfulQA,#2ecc71,3.883085250854492,-0.7892062051059786,-0.39714124033469994,-0.1854509583649342,-0.792317721617617
1677,ragaz + 一瞬间,Math_Logic,#e74c3c,3.8824539184570312,0.45873540625229847,-0.5578593292780238,-0.7804720206174736,-0.8318006498548023
1678,Chun + ifo,Math_Logic,#e74c3c,3.88187575340271,-0.15539530235136806,-0.7839725332607836,-0.6495979409157289,-0.8047583034217568
1679,分公司 + warts,RedTeaming,#34495e,3.8810102939605713,-0.7759576762492294,-0.7244231670006643,-0.6596016906828942,-0.13636604444823616
1680,DOMAIN + thả,Math_Logic,#e74c3c,3.8805501461029053,0.14181861924289355,-0.8380569436816201,-0.7413126533116462,-0.9338672187973117
1681,Guards + hairy,RedTeaming,#34495e,3.8791611194610596,-0.7874761195386458,-0.8924862798035974,-1.0498170742343937,0.7117316550855664
1682,Carolyn + Bak,RedTeaming,#34495e,3.878872871398926,-0.5873508341472287,-0.734799292538227,-0.6566300381572787,1.1565619889678738
1683,Verd + BUM,TruthfulQA,#2ecc71,3.8781261444091797,0.10225524743036453,0.4622193319967581,0.6508324073682045,-0.6602139862794706
1684,gamb + ctor,RedTeaming,#34495e,3.8768746852874756,-0.32124331901440323,-0.48907400275453494,-0.4368571059866777,0.2620338591908531
1685,zik + roring,RedTeaming,#34495e,3.8766930103302,-0.8877024788428378,-0.7074602997679742,-0.7692707405978101,-0.48503287244217436
1686,olut + cors,Math_Logic,#e74c3c,3.875704050064087,-0.5518887076799364,-0.6228341290870495,-0.6400912823721214,-0.6218686131223283
1687,Gros + الأر,TruthfulQA,#2ecc71,3.8750665187835693,-0.8059518994896532,-0.8623295224272517,-0.6699336335991448,-0.7493662752500966
1688,Curt + Bowen,Math_Logic,#e74c3c,3.874417781829834,0.3238502737494175,-1.0141595785973985,-0.8199586376415555,-0.6492543625061408
1689,来不及 + osite,TruthfulQA,#2ecc71,3.873330593109131,-0.1452195659885344,-0.24736279442663084,1.7291190034544015,-0.11046337690956638
1690,ulum + 因为她,RedTeaming,#34495e,3.8729515075683594,-0.6931784466296173,-0.8207410785466989,-0.23172502801096095,-0.17317310671334718
1691,智能化 + Lyons,RedTeaming,#34495e,3.8727407455444336,-0.3297947221744164,-0.8221454157943079,-0.6830405451564402,-0.26038910622436795
1692,Pap + balls,Math_Logic,#e74c3c,3.8715405464172363,0.5008933242414041,-0.19125350169998012,-0.43486079736352,-0.768704355910584
1693,coop + conserv,TruthfulQA,#2ecc71,3.87119722366333,-0.4003955396063591,-0.5662100636149496,-0.21557462602985786,-0.4878056393928615
1694,IPHER + phy,MMLU,#3498db,3.8703949451446533,-0.2315304873278702,-0.02229624408518647,-0.5539744869391129,-0.7104832257416357
1695,在同一 + Plato,MMLU,#3498db,3.869259834289551,-0.46286068392258606,-0.41017393206970637,-0.7395226133319266,-0.8737469549249046
1696,oppress + miss,MMLU,#3498db,3.869004964828491,-0.8774941585433106,-0.7207711822133643,-0.7822246480082434,-0.9010865085644586
1697,icer + 一辈子,TruthfulQA,#2ecc71,3.868054151535034,-0.5219203683727625,-0.8736480023262189,-0.19839915764673544,-0.6218815900613132
1698,назначен + ammen,RedTeaming,#34495e,3.8674144744873047,-0.7947503437895562,-0.8134180626728408,-0.6654145354091144,-0.26559794663805764
1699,сад + sense,Math_Logic,#e74c3c,3.8666722774505615,0.49895758285656855,-0.6885691546957674,-0.669197045132369,-0.8399025574474762
1700,Corpus + Subview,RedTeaming,#34495e,3.8659119606018066,-0.5991354552732784,-0.240710165874756,-0.4743301438874123,-0.16451240323072194
1701,rift + Brew,TruthfulQA,#2ecc71,3.865281343460083,0.6823447456748479,0.6111041892399819,1.131368511381796,0.9253208156215252
1702,carr + 用自己的,MMLU,#3498db,3.864948034286499,-0.8200098965392725,-0.03296512243961475,-0.6672596202230191,-0.714159658261188
1703,URLException + Simon,Math_Logic,#e74c3c,3.863812208175659,-0.4930966428479409,-0.9423054136612611,-0.9018850695486048,-0.9407610830821452
1704,zel + istra,MMLU,#3498db,3.8627572059631348,-0.15162630216438855,-0.10248736492694127,-0.3781033700887125,-0.6975676710212336
1705,sourceMapping + ража,RedTeaming,#34495e,3.8624472618103027,-0.32938661091004556,-0.06151807418458645,-0.13646464787242524,0.3229519117784427
1706,深厚的 + swing,TruthfulQA,#2ecc71,3.8617334365844727,-0.7550934900864982,0.353381560754689,0.44551804594141076,-0.7454293838815942
1707,itz + 建设和,RedTeaming,#34495e,3.861471176147461,-0.30266858983895456,-0.993090349604271,-0.5621393578866221,0.35048494997360125
1708,TypeInfo + PixelFormat,MMLU,#3498db,3.860095739364624,-0.3277832357722333,-0.2428316438419789,-0.4288017607180251,-0.7708226640807211
1709,carg + bum,RedTeaming,#34495e,3.8593568801879883,1.1278989059944127,0.6892457014101552,0.5955624460004517,1.199346258026052
1710,ore + egr,Math_Logic,#e74c3c,3.8583784103393555,0.256561752628101,-0.2254698524430555,-0.06972223845862253,-0.07012236314471104
1711,Sanctuary + أهد,Math_Logic,#e74c3c,3.8579084873199463,-0.6127418374765106,-0.9082770732445767,-0.7882101480687775,-0.7936481330048861
1712,lessly + plevel,TruthfulQA,#2ecc71,3.857576370239258,-0.453924457236725,-0.49921982379586816,0.1835686377631062,-0.724457684145304
1713,Bucc + Gian,TruthfulQA,#2ecc71,3.85636830329895,-0.6078011526989036,-0.7201589149709663,-0.5891848976472005,-0.9002792750329934
1714,Coff + Sans,TruthfulQA,#2ecc71,3.8558857440948486,-0.8998349798713057,-0.47115800947593944,-0.397889110625894,-0.8620839314700299
1715,Kis + กาย,TruthfulQA,#2ecc71,3.8552024364471436,-0.23630474204864213,-0.3573428622626705,-0.10928995136199657,-0.809053493462507
1716,ettel + مول,MMLU,#3498db,3.855039119720459,-0.5990454339328197,-0.3016279060533649,-0.5224658100079034,-0.6510986346581142
1717,Verm + immers,MMLU,#3498db,3.8547372817993164,-0.8925508048842608,-0.571657912825582,-0.7510037086860006,-0.6952540132053621
1718,ople + amina,Math_Logic,#e74c3c,3.8534746170043945,-0.6345782411054918,-0.8666613716326962,-0.7731973536280228,-0.6694424205670049
1719,Cob + cob,MMLU,#3498db,3.8531665802001953,-0.8669338277699626,-0.8228238218152658,-0.8816725997329191,-0.8585169048795098
1720,fond + CSI,MMLU,#3498db,3.8522534370422363,-0.6238493156740571,0.037599935707830316,-0.17012204060461728,-0.7270031424886753
1721,Gust + Zus,MMLU,#3498db,3.8517637252807617,-0.3529604334133103,0.5448247334244208,-0.036093282447299015,-0.6721368442342821
1722,Beat + Beat,MMLU,#3498db,3.8509557247161865,-0.16175618069866018,-0.09729048169367564,-0.2088700185733167,-0.5940244494145074
1723,Ernst + Parsons,RedTeaming,#34495e,3.850346326828003,-0.6284802471746951,-0.8852530158416129,-0.4834466160964653,1.040325836468675
1724,RedirectTo + вли,Math_Logic,#e74c3c,3.84978985786438,0.7798314939998483,0.16643952797144368,-0.1597415186446035,-0.36815161062520707
1725,Prel + 感兴趣,RedTeaming,#34495e,3.8492846488952637,-0.7584506942963901,-0.6917104699387332,-0.8892498530823203,-0.6035120455494882
1726,McCabe + allet,Math_Logic,#e74c3c,3.848076820373535,-0.7811472862912602,-1.0074152765627225,-0.7936928860164604,-0.8638012618771232
1727,oeff,RedTeaming,#34495e,3.847874164581299,-0.6776711311826722,-0.827207355385819,-0.764981602442946,-0.5938674774055227
1728,getDisplay + displayText,TruthfulQA,#2ecc71,3.8467488288879395,-0.3782266386237023,-0.8060948027556505,-0.23892275245538752,-0.7057026568047627
1729,Clara + Maj,Math_Logic,#e74c3c,3.845832109451294,-0.3090862694888531,-0.7446229227774439,-0.5978506993525116,-0.6400503739577454
1730,مان + ESC,RedTeaming,#34495e,3.845142364501953,-0.5401271553269476,-0.7146657459711104,-0.598589575504962,-0.08894486397883716
1731,mue + cock,MMLU,#3498db,3.8443682193756104,-0.7902925174775766,-0.14648457095187165,-0.76441830253215,-0.7077631512024738
